,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
903,supported cards and currencies,supported,54,True,True,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",903,25,3,False,25
1003,top up reverted,top up revert,61,True,True,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",1003,25,3,False,25
2953,card about to expire,card about,9,False,True,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",2953,25,3,False,25
2979,top up by card charge,apple,2,False,False,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",2979,25,3,False,25
1926,get physical card,card sw,18,False,False,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",1926,25,3,False,25
2137,get physical card,change,21,False,False,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",2137,25,3,False,25
2980,top up by card charge,apple,2,False,False,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",2980,25,3,False,25
702,cancel transfer,cancel,8,True,True,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",702,25,3,False,25
2493,get physical card,order,43,False,False,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",2493,25,3,False,25
2210,transfer fee charged,transfer fee,64,True,True,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",2210,25,3,False,25
112,exchange rate,exchange rate,32,False,True,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",112,25,3,False,25
2909,cash withdrawal charge,cash withdrawal charge,19,False,True,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",2909,25,3,False,25
1987,card payment wrong exchange rate,transaction,63,False,False,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",1987,25,3,False,25
1283,supported cards and currencies,vis,73,False,False,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",1283,25,3,False,25
1539,passcode forgotten,pass,44,True,True,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",1539,25,3,False,25
2879,activate my card,activ,0,False,True,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",2879,25,3,False,25
1158,edit personal details,edit,30,True,True,False,"{53: 3, 70: 2, 34: 1, 54: 1, 64: 1, 44: 1, 38: 1, 27: 2, 8: 2, 61: 1, 6: 1, 50: 1, 17: 2, 48: 2, 4: 1, 30: 1, 56: 1, 28: 1}","[2754, 1423, 3444, 1353, 2265, 9281, 8596, 8406, 2928, 9791, 8029, 4604, 623, 2934, 9653, 4800, 3547, 66, 2368, 2756, 1590, 1281, 6663, 824, 2063]",1158,25,3,False,25
