,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
82,human,human,3,True,True,True,"{5: 56, 4: 45, 3: 63, 2: 58, 1: 74, 0: 4}","[2133, 4313, 2197, 708, 2953, 1211, 4403, 2629, 3362, 954, 3761, 15, 124, 4464, 3684, 3947, 3154, 713, 3535, 5265, 952, 2866, 1042, 870, 5348, 791, 297, 4570, 3552, 964, 170, 373, 698, 1122, 86, 3710, 1961, 2084, 3674, 2554, 4042, 96, 2527, 2935, 1210, 5125, 1184, 836, 4211, 85, 4636, 3242, 4519, 4676, 5204, 869, 2389, 3200, 3226, 3021, 3812, 1486, 3993, 4122, 2343, 581, 638, 5232, 925, 4529, 123, 5329, 3080, 2427, 3287, 5266, 1958, 3622, 1955, 4263, 4591, 2334, 2587, 2893, 3477, 3000, 615, 381, 5247, 3177, 2048, 5394, 3606, 2590, 3498, 3920, 3229, 2504, 2639, 392, 5054, 2258, 3256, 2510, 5235, 1993, 1166, 2594, 4303, 3589, 57, 228, 3544, 4530, 3294, 2462, 1417, 918, 570, 1412, 4480, 2855, 2707, 841, 18, 4841, 3016, 4601, 93, 4540, 2366, 3333, 3006, 3132, 4867, 693, 4362, 707, 2602, 1693, 2561, 1011, 12, 903, 3553, 2031, 2417, 884, 4615, 3518, 2171, 5077, 4619, 709, 4873, 723, 3286, 4773, 4906, 1288, 5300, 2695, 174, 3755, 3035, 3096, 2499, 753, 4212, 4977, 3617, 3882, 1644, 357, 2820, 1762, 3374, 2702, 2942, 2743, 1006, 3937, 2058, 2667, 2126, 4479, 4087, 482, 4834, 564, 5018, 831, 3899, 1105, 5086, 2148, 1662, 2005, 1948, 1912, 5377, 2783, 4327, 892, 5140, 3980, 1634, 1047, 1060, 2329, 4432, 4001, 4366, 4449, 5098, 899, 1294, 939, 2087, 4940, 1144, 814, 2136, 159, 5428, 4004, 2871, 46, 4904, 1677, 4015, 4096, 3512, 2480, 1209, 5092, 2706, 4177, 3632, 3065, 2849, 3597, 1636, 2237, 5056, 4598, 2283, 1033, 5301, 1788, 4416, 5425, 419, 1193, 1887, 3456, 1923, 3155, 1088, 1192, 2732, 3677, 801, 1640, 2360, 1613, 5352, 4694, 3833, 5415, 3458, 117, 523, 139, 2182, 3015, 3428, 2045, 5229, 4902, 584, 1372, 624, 4589, 3281, 4113, 5155, 1515, 594, 5207, 3685, 3078, 2970, 3288, 3343, 466, 2190, 3219, 895, 5252]",82,300,0,False,100
395,description,description,2,True,True,True,"{5: 56, 4: 45, 3: 63, 2: 58, 1: 74, 0: 4}","[2133, 4313, 2197, 708, 2953, 1211, 4403, 2629, 3362, 954, 3761, 15, 124, 4464, 3684, 3947, 3154, 713, 3535, 5265, 952, 2866, 1042, 870, 5348, 791, 297, 4570, 3552, 964, 170, 373, 698, 1122, 86, 3710, 1961, 2084, 3674, 2554, 4042, 96, 2527, 2935, 1210, 5125, 1184, 836, 4211, 85, 4636, 3242, 4519, 4676, 5204, 869, 2389, 3200, 3226, 3021, 3812, 1486, 3993, 4122, 2343, 581, 638, 5232, 925, 4529, 123, 5329, 3080, 2427, 3287, 5266, 1958, 3622, 1955, 4263, 4591, 2334, 2587, 2893, 3477, 3000, 615, 381, 5247, 3177, 2048, 5394, 3606, 2590, 3498, 3920, 3229, 2504, 2639, 392, 5054, 2258, 3256, 2510, 5235, 1993, 1166, 2594, 4303, 3589, 57, 228, 3544, 4530, 3294, 2462, 1417, 918, 570, 1412, 4480, 2855, 2707, 841, 18, 4841, 3016, 4601, 93, 4540, 2366, 3333, 3006, 3132, 4867, 693, 4362, 707, 2602, 1693, 2561, 1011, 12, 903, 3553, 2031, 2417, 884, 4615, 3518, 2171, 5077, 4619, 709, 4873, 723, 3286, 4773, 4906, 1288, 5300, 2695, 174, 3755, 3035, 3096, 2499, 753, 4212, 4977, 3617, 3882, 1644, 357, 2820, 1762, 3374, 2702, 2942, 2743, 1006, 3937, 2058, 2667, 2126, 4479, 4087, 482, 4834, 564, 5018, 831, 3899, 1105, 5086, 2148, 1662, 2005, 1948, 1912, 5377, 2783, 4327, 892, 5140, 3980, 1634, 1047, 1060, 2329, 4432, 4001, 4366, 4449, 5098, 899, 1294, 939, 2087, 4940, 1144, 814, 2136, 159, 5428, 4004, 2871, 46, 4904, 1677, 4015, 4096, 3512, 2480, 1209, 5092, 2706, 4177, 3632, 3065, 2849, 3597, 1636, 2237, 5056, 4598, 2283, 1033, 5301, 1788, 4416, 5425, 419, 1193, 1887, 3456, 1923, 3155, 1088, 1192, 2732, 3677, 801, 1640, 2360, 1613, 5352, 4694, 3833, 5415, 3458, 117, 523, 139, 2182, 3015, 3428, 2045, 5229, 4902, 584, 1372, 624, 4589, 3281, 4113, 5155, 1515, 594, 5207, 3685, 3078, 2970, 3288, 3343, 466, 2190, 3219, 895, 5252]",395,300,0,False,100
188,location,location,4,True,True,True,"{5: 56, 4: 45, 3: 63, 2: 58, 1: 74, 0: 4}","[2133, 4313, 2197, 708, 2953, 1211, 4403, 2629, 3362, 954, 3761, 15, 124, 4464, 3684, 3947, 3154, 713, 3535, 5265, 952, 2866, 1042, 870, 5348, 791, 297, 4570, 3552, 964, 170, 373, 698, 1122, 86, 3710, 1961, 2084, 3674, 2554, 4042, 96, 2527, 2935, 1210, 5125, 1184, 836, 4211, 85, 4636, 3242, 4519, 4676, 5204, 869, 2389, 3200, 3226, 3021, 3812, 1486, 3993, 4122, 2343, 581, 638, 5232, 925, 4529, 123, 5329, 3080, 2427, 3287, 5266, 1958, 3622, 1955, 4263, 4591, 2334, 2587, 2893, 3477, 3000, 615, 381, 5247, 3177, 2048, 5394, 3606, 2590, 3498, 3920, 3229, 2504, 2639, 392, 5054, 2258, 3256, 2510, 5235, 1993, 1166, 2594, 4303, 3589, 57, 228, 3544, 4530, 3294, 2462, 1417, 918, 570, 1412, 4480, 2855, 2707, 841, 18, 4841, 3016, 4601, 93, 4540, 2366, 3333, 3006, 3132, 4867, 693, 4362, 707, 2602, 1693, 2561, 1011, 12, 903, 3553, 2031, 2417, 884, 4615, 3518, 2171, 5077, 4619, 709, 4873, 723, 3286, 4773, 4906, 1288, 5300, 2695, 174, 3755, 3035, 3096, 2499, 753, 4212, 4977, 3617, 3882, 1644, 357, 2820, 1762, 3374, 2702, 2942, 2743, 1006, 3937, 2058, 2667, 2126, 4479, 4087, 482, 4834, 564, 5018, 831, 3899, 1105, 5086, 2148, 1662, 2005, 1948, 1912, 5377, 2783, 4327, 892, 5140, 3980, 1634, 1047, 1060, 2329, 4432, 4001, 4366, 4449, 5098, 899, 1294, 939, 2087, 4940, 1144, 814, 2136, 159, 5428, 4004, 2871, 46, 4904, 1677, 4015, 4096, 3512, 2480, 1209, 5092, 2706, 4177, 3632, 3065, 2849, 3597, 1636, 2237, 5056, 4598, 2283, 1033, 5301, 1788, 4416, 5425, 419, 1193, 1887, 3456, 1923, 3155, 1088, 1192, 2732, 3677, 801, 1640, 2360, 1613, 5352, 4694, 3833, 5415, 3458, 117, 523, 139, 2182, 3015, 3428, 2045, 5229, 4902, 584, 1372, 624, 4589, 3281, 4113, 5155, 1515, 594, 5207, 3685, 3078, 2970, 3288, 3343, 466, 2190, 3219, 895, 5252]",188,300,0,False,100
203,entity,entity,1,True,True,True,"{5: 56, 4: 45, 3: 63, 2: 58, 1: 74, 0: 4}","[2133, 4313, 2197, 708, 2953, 1211, 4403, 2629, 3362, 954, 3761, 15, 124, 4464, 3684, 3947, 3154, 713, 3535, 5265, 952, 2866, 1042, 870, 5348, 791, 297, 4570, 3552, 964, 170, 373, 698, 1122, 86, 3710, 1961, 2084, 3674, 2554, 4042, 96, 2527, 2935, 1210, 5125, 1184, 836, 4211, 85, 4636, 3242, 4519, 4676, 5204, 869, 2389, 3200, 3226, 3021, 3812, 1486, 3993, 4122, 2343, 581, 638, 5232, 925, 4529, 123, 5329, 3080, 2427, 3287, 5266, 1958, 3622, 1955, 4263, 4591, 2334, 2587, 2893, 3477, 3000, 615, 381, 5247, 3177, 2048, 5394, 3606, 2590, 3498, 3920, 3229, 2504, 2639, 392, 5054, 2258, 3256, 2510, 5235, 1993, 1166, 2594, 4303, 3589, 57, 228, 3544, 4530, 3294, 2462, 1417, 918, 570, 1412, 4480, 2855, 2707, 841, 18, 4841, 3016, 4601, 93, 4540, 2366, 3333, 3006, 3132, 4867, 693, 4362, 707, 2602, 1693, 2561, 1011, 12, 903, 3553, 2031, 2417, 884, 4615, 3518, 2171, 5077, 4619, 709, 4873, 723, 3286, 4773, 4906, 1288, 5300, 2695, 174, 3755, 3035, 3096, 2499, 753, 4212, 4977, 3617, 3882, 1644, 357, 2820, 1762, 3374, 2702, 2942, 2743, 1006, 3937, 2058, 2667, 2126, 4479, 4087, 482, 4834, 564, 5018, 831, 3899, 1105, 5086, 2148, 1662, 2005, 1948, 1912, 5377, 2783, 4327, 892, 5140, 3980, 1634, 1047, 1060, 2329, 4432, 4001, 4366, 4449, 5098, 899, 1294, 939, 2087, 4940, 1144, 814, 2136, 159, 5428, 4004, 2871, 46, 4904, 1677, 4015, 4096, 3512, 2480, 1209, 5092, 2706, 4177, 3632, 3065, 2849, 3597, 1636, 2237, 5056, 4598, 2283, 1033, 5301, 1788, 4416, 5425, 419, 1193, 1887, 3456, 1923, 3155, 1088, 1192, 2732, 3677, 801, 1640, 2360, 1613, 5352, 4694, 3833, 5415, 3458, 117, 523, 139, 2182, 3015, 3428, 2045, 5229, 4902, 584, 1372, 624, 4589, 3281, 4113, 5155, 1515, 594, 5207, 3685, 3078, 2970, 3288, 3343, 466, 2190, 3219, 895, 5252]",203,300,0,False,100
490,entity,description,2,True,False,True,"{5: 56, 4: 45, 3: 63, 2: 58, 1: 74, 0: 4}","[2133, 4313, 2197, 708, 2953, 1211, 4403, 2629, 3362, 954, 3761, 15, 124, 4464, 3684, 3947, 3154, 713, 3535, 5265, 952, 2866, 1042, 870, 5348, 791, 297, 4570, 3552, 964, 170, 373, 698, 1122, 86, 3710, 1961, 2084, 3674, 2554, 4042, 96, 2527, 2935, 1210, 5125, 1184, 836, 4211, 85, 4636, 3242, 4519, 4676, 5204, 869, 2389, 3200, 3226, 3021, 3812, 1486, 3993, 4122, 2343, 581, 638, 5232, 925, 4529, 123, 5329, 3080, 2427, 3287, 5266, 1958, 3622, 1955, 4263, 4591, 2334, 2587, 2893, 3477, 3000, 615, 381, 5247, 3177, 2048, 5394, 3606, 2590, 3498, 3920, 3229, 2504, 2639, 392, 5054, 2258, 3256, 2510, 5235, 1993, 1166, 2594, 4303, 3589, 57, 228, 3544, 4530, 3294, 2462, 1417, 918, 570, 1412, 4480, 2855, 2707, 841, 18, 4841, 3016, 4601, 93, 4540, 2366, 3333, 3006, 3132, 4867, 693, 4362, 707, 2602, 1693, 2561, 1011, 12, 903, 3553, 2031, 2417, 884, 4615, 3518, 2171, 5077, 4619, 709, 4873, 723, 3286, 4773, 4906, 1288, 5300, 2695, 174, 3755, 3035, 3096, 2499, 753, 4212, 4977, 3617, 3882, 1644, 357, 2820, 1762, 3374, 2702, 2942, 2743, 1006, 3937, 2058, 2667, 2126, 4479, 4087, 482, 4834, 564, 5018, 831, 3899, 1105, 5086, 2148, 1662, 2005, 1948, 1912, 5377, 2783, 4327, 892, 5140, 3980, 1634, 1047, 1060, 2329, 4432, 4001, 4366, 4449, 5098, 899, 1294, 939, 2087, 4940, 1144, 814, 2136, 159, 5428, 4004, 2871, 46, 4904, 1677, 4015, 4096, 3512, 2480, 1209, 5092, 2706, 4177, 3632, 3065, 2849, 3597, 1636, 2237, 5056, 4598, 2283, 1033, 5301, 1788, 4416, 5425, 419, 1193, 1887, 3456, 1923, 3155, 1088, 1192, 2732, 3677, 801, 1640, 2360, 1613, 5352, 4694, 3833, 5415, 3458, 117, 523, 139, 2182, 3015, 3428, 2045, 5229, 4902, 584, 1372, 624, 4589, 3281, 4113, 5155, 1515, 594, 5207, 3685, 3078, 2970, 3288, 3343, 466, 2190, 3219, 895, 5252]",490,300,0,False,100
375,numeric,numeric,5,True,True,True,"{5: 56, 4: 45, 3: 63, 2: 58, 1: 74, 0: 4}","[2133, 4313, 2197, 708, 2953, 1211, 4403, 2629, 3362, 954, 3761, 15, 124, 4464, 3684, 3947, 3154, 713, 3535, 5265, 952, 2866, 1042, 870, 5348, 791, 297, 4570, 3552, 964, 170, 373, 698, 1122, 86, 3710, 1961, 2084, 3674, 2554, 4042, 96, 2527, 2935, 1210, 5125, 1184, 836, 4211, 85, 4636, 3242, 4519, 4676, 5204, 869, 2389, 3200, 3226, 3021, 3812, 1486, 3993, 4122, 2343, 581, 638, 5232, 925, 4529, 123, 5329, 3080, 2427, 3287, 5266, 1958, 3622, 1955, 4263, 4591, 2334, 2587, 2893, 3477, 3000, 615, 381, 5247, 3177, 2048, 5394, 3606, 2590, 3498, 3920, 3229, 2504, 2639, 392, 5054, 2258, 3256, 2510, 5235, 1993, 1166, 2594, 4303, 3589, 57, 228, 3544, 4530, 3294, 2462, 1417, 918, 570, 1412, 4480, 2855, 2707, 841, 18, 4841, 3016, 4601, 93, 4540, 2366, 3333, 3006, 3132, 4867, 693, 4362, 707, 2602, 1693, 2561, 1011, 12, 903, 3553, 2031, 2417, 884, 4615, 3518, 2171, 5077, 4619, 709, 4873, 723, 3286, 4773, 4906, 1288, 5300, 2695, 174, 3755, 3035, 3096, 2499, 753, 4212, 4977, 3617, 3882, 1644, 357, 2820, 1762, 3374, 2702, 2942, 2743, 1006, 3937, 2058, 2667, 2126, 4479, 4087, 482, 4834, 564, 5018, 831, 3899, 1105, 5086, 2148, 1662, 2005, 1948, 1912, 5377, 2783, 4327, 892, 5140, 3980, 1634, 1047, 1060, 2329, 4432, 4001, 4366, 4449, 5098, 899, 1294, 939, 2087, 4940, 1144, 814, 2136, 159, 5428, 4004, 2871, 46, 4904, 1677, 4015, 4096, 3512, 2480, 1209, 5092, 2706, 4177, 3632, 3065, 2849, 3597, 1636, 2237, 5056, 4598, 2283, 1033, 5301, 1788, 4416, 5425, 419, 1193, 1887, 3456, 1923, 3155, 1088, 1192, 2732, 3677, 801, 1640, 2360, 1613, 5352, 4694, 3833, 5415, 3458, 117, 523, 139, 2182, 3015, 3428, 2045, 5229, 4902, 584, 1372, 624, 4589, 3281, 4113, 5155, 1515, 594, 5207, 3685, 3078, 2970, 3288, 3343, 466, 2190, 3219, 895, 5252]",375,300,0,False,100
128,location,description,2,True,False,True,"{5: 56, 4: 45, 3: 63, 2: 58, 1: 74, 0: 4}","[2133, 4313, 2197, 708, 2953, 1211, 4403, 2629, 3362, 954, 3761, 15, 124, 4464, 3684, 3947, 3154, 713, 3535, 5265, 952, 2866, 1042, 870, 5348, 791, 297, 4570, 3552, 964, 170, 373, 698, 1122, 86, 3710, 1961, 2084, 3674, 2554, 4042, 96, 2527, 2935, 1210, 5125, 1184, 836, 4211, 85, 4636, 3242, 4519, 4676, 5204, 869, 2389, 3200, 3226, 3021, 3812, 1486, 3993, 4122, 2343, 581, 638, 5232, 925, 4529, 123, 5329, 3080, 2427, 3287, 5266, 1958, 3622, 1955, 4263, 4591, 2334, 2587, 2893, 3477, 3000, 615, 381, 5247, 3177, 2048, 5394, 3606, 2590, 3498, 3920, 3229, 2504, 2639, 392, 5054, 2258, 3256, 2510, 5235, 1993, 1166, 2594, 4303, 3589, 57, 228, 3544, 4530, 3294, 2462, 1417, 918, 570, 1412, 4480, 2855, 2707, 841, 18, 4841, 3016, 4601, 93, 4540, 2366, 3333, 3006, 3132, 4867, 693, 4362, 707, 2602, 1693, 2561, 1011, 12, 903, 3553, 2031, 2417, 884, 4615, 3518, 2171, 5077, 4619, 709, 4873, 723, 3286, 4773, 4906, 1288, 5300, 2695, 174, 3755, 3035, 3096, 2499, 753, 4212, 4977, 3617, 3882, 1644, 357, 2820, 1762, 3374, 2702, 2942, 2743, 1006, 3937, 2058, 2667, 2126, 4479, 4087, 482, 4834, 564, 5018, 831, 3899, 1105, 5086, 2148, 1662, 2005, 1948, 1912, 5377, 2783, 4327, 892, 5140, 3980, 1634, 1047, 1060, 2329, 4432, 4001, 4366, 4449, 5098, 899, 1294, 939, 2087, 4940, 1144, 814, 2136, 159, 5428, 4004, 2871, 46, 4904, 1677, 4015, 4096, 3512, 2480, 1209, 5092, 2706, 4177, 3632, 3065, 2849, 3597, 1636, 2237, 5056, 4598, 2283, 1033, 5301, 1788, 4416, 5425, 419, 1193, 1887, 3456, 1923, 3155, 1088, 1192, 2732, 3677, 801, 1640, 2360, 1613, 5352, 4694, 3833, 5415, 3458, 117, 523, 139, 2182, 3015, 3428, 2045, 5229, 4902, 584, 1372, 624, 4589, 3281, 4113, 5155, 1515, 594, 5207, 3685, 3078, 2970, 3288, 3343, 466, 2190, 3219, 895, 5252]",128,300,0,False,100
198,entity,entity,1,True,True,True,"{5: 56, 4: 45, 3: 63, 2: 58, 1: 74, 0: 4}","[2133, 4313, 2197, 708, 2953, 1211, 4403, 2629, 3362, 954, 3761, 15, 124, 4464, 3684, 3947, 3154, 713, 3535, 5265, 952, 2866, 1042, 870, 5348, 791, 297, 4570, 3552, 964, 170, 373, 698, 1122, 86, 3710, 1961, 2084, 3674, 2554, 4042, 96, 2527, 2935, 1210, 5125, 1184, 836, 4211, 85, 4636, 3242, 4519, 4676, 5204, 869, 2389, 3200, 3226, 3021, 3812, 1486, 3993, 4122, 2343, 581, 638, 5232, 925, 4529, 123, 5329, 3080, 2427, 3287, 5266, 1958, 3622, 1955, 4263, 4591, 2334, 2587, 2893, 3477, 3000, 615, 381, 5247, 3177, 2048, 5394, 3606, 2590, 3498, 3920, 3229, 2504, 2639, 392, 5054, 2258, 3256, 2510, 5235, 1993, 1166, 2594, 4303, 3589, 57, 228, 3544, 4530, 3294, 2462, 1417, 918, 570, 1412, 4480, 2855, 2707, 841, 18, 4841, 3016, 4601, 93, 4540, 2366, 3333, 3006, 3132, 4867, 693, 4362, 707, 2602, 1693, 2561, 1011, 12, 903, 3553, 2031, 2417, 884, 4615, 3518, 2171, 5077, 4619, 709, 4873, 723, 3286, 4773, 4906, 1288, 5300, 2695, 174, 3755, 3035, 3096, 2499, 753, 4212, 4977, 3617, 3882, 1644, 357, 2820, 1762, 3374, 2702, 2942, 2743, 1006, 3937, 2058, 2667, 2126, 4479, 4087, 482, 4834, 564, 5018, 831, 3899, 1105, 5086, 2148, 1662, 2005, 1948, 1912, 5377, 2783, 4327, 892, 5140, 3980, 1634, 1047, 1060, 2329, 4432, 4001, 4366, 4449, 5098, 899, 1294, 939, 2087, 4940, 1144, 814, 2136, 159, 5428, 4004, 2871, 46, 4904, 1677, 4015, 4096, 3512, 2480, 1209, 5092, 2706, 4177, 3632, 3065, 2849, 3597, 1636, 2237, 5056, 4598, 2283, 1033, 5301, 1788, 4416, 5425, 419, 1193, 1887, 3456, 1923, 3155, 1088, 1192, 2732, 3677, 801, 1640, 2360, 1613, 5352, 4694, 3833, 5415, 3458, 117, 523, 139, 2182, 3015, 3428, 2045, 5229, 4902, 584, 1372, 624, 4589, 3281, 4113, 5155, 1515, 594, 5207, 3685, 3078, 2970, 3288, 3343, 466, 2190, 3219, 895, 5252]",198,300,0,False,100
149,entity,description,2,True,False,True,"{5: 56, 4: 45, 3: 63, 2: 58, 1: 74, 0: 4}","[2133, 4313, 2197, 708, 2953, 1211, 4403, 2629, 3362, 954, 3761, 15, 124, 4464, 3684, 3947, 3154, 713, 3535, 5265, 952, 2866, 1042, 870, 5348, 791, 297, 4570, 3552, 964, 170, 373, 698, 1122, 86, 3710, 1961, 2084, 3674, 2554, 4042, 96, 2527, 2935, 1210, 5125, 1184, 836, 4211, 85, 4636, 3242, 4519, 4676, 5204, 869, 2389, 3200, 3226, 3021, 3812, 1486, 3993, 4122, 2343, 581, 638, 5232, 925, 4529, 123, 5329, 3080, 2427, 3287, 5266, 1958, 3622, 1955, 4263, 4591, 2334, 2587, 2893, 3477, 3000, 615, 381, 5247, 3177, 2048, 5394, 3606, 2590, 3498, 3920, 3229, 2504, 2639, 392, 5054, 2258, 3256, 2510, 5235, 1993, 1166, 2594, 4303, 3589, 57, 228, 3544, 4530, 3294, 2462, 1417, 918, 570, 1412, 4480, 2855, 2707, 841, 18, 4841, 3016, 4601, 93, 4540, 2366, 3333, 3006, 3132, 4867, 693, 4362, 707, 2602, 1693, 2561, 1011, 12, 903, 3553, 2031, 2417, 884, 4615, 3518, 2171, 5077, 4619, 709, 4873, 723, 3286, 4773, 4906, 1288, 5300, 2695, 174, 3755, 3035, 3096, 2499, 753, 4212, 4977, 3617, 3882, 1644, 357, 2820, 1762, 3374, 2702, 2942, 2743, 1006, 3937, 2058, 2667, 2126, 4479, 4087, 482, 4834, 564, 5018, 831, 3899, 1105, 5086, 2148, 1662, 2005, 1948, 1912, 5377, 2783, 4327, 892, 5140, 3980, 1634, 1047, 1060, 2329, 4432, 4001, 4366, 4449, 5098, 899, 1294, 939, 2087, 4940, 1144, 814, 2136, 159, 5428, 4004, 2871, 46, 4904, 1677, 4015, 4096, 3512, 2480, 1209, 5092, 2706, 4177, 3632, 3065, 2849, 3597, 1636, 2237, 5056, 4598, 2283, 1033, 5301, 1788, 4416, 5425, 419, 1193, 1887, 3456, 1923, 3155, 1088, 1192, 2732, 3677, 801, 1640, 2360, 1613, 5352, 4694, 3833, 5415, 3458, 117, 523, 139, 2182, 3015, 3428, 2045, 5229, 4902, 584, 1372, 624, 4589, 3281, 4113, 5155, 1515, 594, 5207, 3685, 3078, 2970, 3288, 3343, 466, 2190, 3219, 895, 5252]",149,300,0,False,100
326,description,description,2,True,True,True,"{5: 56, 4: 45, 3: 63, 2: 58, 1: 74, 0: 4}","[2133, 4313, 2197, 708, 2953, 1211, 4403, 2629, 3362, 954, 3761, 15, 124, 4464, 3684, 3947, 3154, 713, 3535, 5265, 952, 2866, 1042, 870, 5348, 791, 297, 4570, 3552, 964, 170, 373, 698, 1122, 86, 3710, 1961, 2084, 3674, 2554, 4042, 96, 2527, 2935, 1210, 5125, 1184, 836, 4211, 85, 4636, 3242, 4519, 4676, 5204, 869, 2389, 3200, 3226, 3021, 3812, 1486, 3993, 4122, 2343, 581, 638, 5232, 925, 4529, 123, 5329, 3080, 2427, 3287, 5266, 1958, 3622, 1955, 4263, 4591, 2334, 2587, 2893, 3477, 3000, 615, 381, 5247, 3177, 2048, 5394, 3606, 2590, 3498, 3920, 3229, 2504, 2639, 392, 5054, 2258, 3256, 2510, 5235, 1993, 1166, 2594, 4303, 3589, 57, 228, 3544, 4530, 3294, 2462, 1417, 918, 570, 1412, 4480, 2855, 2707, 841, 18, 4841, 3016, 4601, 93, 4540, 2366, 3333, 3006, 3132, 4867, 693, 4362, 707, 2602, 1693, 2561, 1011, 12, 903, 3553, 2031, 2417, 884, 4615, 3518, 2171, 5077, 4619, 709, 4873, 723, 3286, 4773, 4906, 1288, 5300, 2695, 174, 3755, 3035, 3096, 2499, 753, 4212, 4977, 3617, 3882, 1644, 357, 2820, 1762, 3374, 2702, 2942, 2743, 1006, 3937, 2058, 2667, 2126, 4479, 4087, 482, 4834, 564, 5018, 831, 3899, 1105, 5086, 2148, 1662, 2005, 1948, 1912, 5377, 2783, 4327, 892, 5140, 3980, 1634, 1047, 1060, 2329, 4432, 4001, 4366, 4449, 5098, 899, 1294, 939, 2087, 4940, 1144, 814, 2136, 159, 5428, 4004, 2871, 46, 4904, 1677, 4015, 4096, 3512, 2480, 1209, 5092, 2706, 4177, 3632, 3065, 2849, 3597, 1636, 2237, 5056, 4598, 2283, 1033, 5301, 1788, 4416, 5425, 419, 1193, 1887, 3456, 1923, 3155, 1088, 1192, 2732, 3677, 801, 1640, 2360, 1613, 5352, 4694, 3833, 5415, 3458, 117, 523, 139, 2182, 3015, 3428, 2045, 5229, 4902, 584, 1372, 624, 4589, 3281, 4113, 5155, 1515, 594, 5207, 3685, 3078, 2970, 3288, 3343, 466, 2190, 3219, 895, 5252]",326,300,0,False,100
239,numeric,numeric,5,True,True,True,"{5: 56, 4: 45, 3: 63, 2: 58, 1: 74, 0: 4}","[2133, 4313, 2197, 708, 2953, 1211, 4403, 2629, 3362, 954, 3761, 15, 124, 4464, 3684, 3947, 3154, 713, 3535, 5265, 952, 2866, 1042, 870, 5348, 791, 297, 4570, 3552, 964, 170, 373, 698, 1122, 86, 3710, 1961, 2084, 3674, 2554, 4042, 96, 2527, 2935, 1210, 5125, 1184, 836, 4211, 85, 4636, 3242, 4519, 4676, 5204, 869, 2389, 3200, 3226, 3021, 3812, 1486, 3993, 4122, 2343, 581, 638, 5232, 925, 4529, 123, 5329, 3080, 2427, 3287, 5266, 1958, 3622, 1955, 4263, 4591, 2334, 2587, 2893, 3477, 3000, 615, 381, 5247, 3177, 2048, 5394, 3606, 2590, 3498, 3920, 3229, 2504, 2639, 392, 5054, 2258, 3256, 2510, 5235, 1993, 1166, 2594, 4303, 3589, 57, 228, 3544, 4530, 3294, 2462, 1417, 918, 570, 1412, 4480, 2855, 2707, 841, 18, 4841, 3016, 4601, 93, 4540, 2366, 3333, 3006, 3132, 4867, 693, 4362, 707, 2602, 1693, 2561, 1011, 12, 903, 3553, 2031, 2417, 884, 4615, 3518, 2171, 5077, 4619, 709, 4873, 723, 3286, 4773, 4906, 1288, 5300, 2695, 174, 3755, 3035, 3096, 2499, 753, 4212, 4977, 3617, 3882, 1644, 357, 2820, 1762, 3374, 2702, 2942, 2743, 1006, 3937, 2058, 2667, 2126, 4479, 4087, 482, 4834, 564, 5018, 831, 3899, 1105, 5086, 2148, 1662, 2005, 1948, 1912, 5377, 2783, 4327, 892, 5140, 3980, 1634, 1047, 1060, 2329, 4432, 4001, 4366, 4449, 5098, 899, 1294, 939, 2087, 4940, 1144, 814, 2136, 159, 5428, 4004, 2871, 46, 4904, 1677, 4015, 4096, 3512, 2480, 1209, 5092, 2706, 4177, 3632, 3065, 2849, 3597, 1636, 2237, 5056, 4598, 2283, 1033, 5301, 1788, 4416, 5425, 419, 1193, 1887, 3456, 1923, 3155, 1088, 1192, 2732, 3677, 801, 1640, 2360, 1613, 5352, 4694, 3833, 5415, 3458, 117, 523, 139, 2182, 3015, 3428, 2045, 5229, 4902, 584, 1372, 624, 4589, 3281, 4113, 5155, 1515, 594, 5207, 3685, 3078, 2970, 3288, 3343, 466, 2190, 3219, 895, 5252]",239,300,0,False,100
