,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
443,location other,entity event,8,True,False,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",443,25,2,False,25
2795,location other,location other,35,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",2795,25,2,False,25
3466,numeric date,numeric date,39,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",3466,25,2,False,25
502,numeric date,numeric date,39,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",502,25,2,False,25
4110,location other,location other,35,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",4110,25,2,False,25
3670,numeric order,numeric order,42,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",3670,25,2,False,25
4819,human individual,human individual,29,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",4819,25,2,False,25
52,entity creation,entity creation,5,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",52,25,2,False,25
2616,numeric money,numeric money,41,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",2616,25,2,False,25
126,description manner,description manner,26,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",126,25,2,False,25
74,numeric count,numeric count,38,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",74,25,2,False,25
1222,description definition,description definition,24,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",1222,25,2,False,25
4973,entity creation,entity creation,5,True,True,True,"{8: 1, 35: 5, 39: 2, 42: 1, 29: 3, 5: 3, 41: 1, 26: 2, 38: 2, 24: 1, 32: 1, 33: 1, 47: 1, 30: 1}","[443, 2795, 3466, 502, 4110, 3670, 4819, 52, 2616, 126, 74, 1222, 4973, 37, 4996, 5418, 3608, 1426, 555, 5214, 3682, 3864, 1933, 1368, 4844]",4973,25,2,False,25
