,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
582,spending history,spending,71,False,True,False,"{135: 1, 140: 1, 98: 2, 41: 2, 39: 1, 103: 1, 86: 1, 40: 1, 123: 3, 133: 1, 76: 2, 46: 1, 33: 1, 84: 1, 144: 2, 68: 1, 112: 1, 108: 1, 24: 1}","[337, 2557, 7231, 5110, 4717, 5567, 4, 248, 3071, 6217, 1675, 6071, 1150, 4171, 877, 6086, 6782, 3460, 3475, 1051, 7309, 412, 7091, 2022, 2999]",582,25,6,False
408,restaurant reviews,confirm,85,False,False,False,"{135: 1, 140: 1, 98: 2, 41: 2, 39: 1, 103: 1, 86: 1, 40: 1, 123: 3, 133: 1, 76: 2, 46: 1, 33: 1, 84: 1, 144: 2, 68: 1, 112: 1, 108: 1, 24: 1}","[337, 2557, 7231, 5110, 4717, 5567, 4, 248, 3071, 6217, 1675, 6071, 1150, 4171, 877, 6086, 6782, 3460, 3475, 1051, 7309, 412, 7091, 2022, 2999]",408,25,6,False
699,todo list update,todo,65,False,True,False,"{135: 1, 140: 1, 98: 2, 41: 2, 39: 1, 103: 1, 86: 1, 40: 1, 123: 3, 133: 1, 76: 2, 46: 1, 33: 1, 84: 1, 144: 2, 68: 1, 112: 1, 108: 1, 24: 1}","[337, 2557, 7231, 5110, 4717, 5567, 4, 248, 3071, 6217, 1675, 6071, 1150, 4171, 877, 6086, 6782, 3460, 3475, 1051, 7309, 412, 7091, 2022, 2999]",699,25,6,False
2105,meal suggestion,meal,46,True,True,False,"{135: 1, 140: 1, 98: 2, 41: 2, 39: 1, 103: 1, 86: 1, 40: 1, 123: 3, 133: 1, 76: 2, 46: 1, 33: 1, 84: 1, 144: 2, 68: 1, 112: 1, 108: 1, 24: 1}","[337, 2557, 7231, 5110, 4717, 5567, 4, 248, 3071, 6217, 1675, 6071, 1150, 4171, 877, 6086, 6782, 3460, 3475, 1051, 7309, 412, 7091, 2022, 2999]",2105,25,6,False
46,transfer,transfer,133,True,True,True,"{135: 1, 140: 1, 98: 2, 41: 2, 39: 1, 103: 1, 86: 1, 40: 1, 123: 3, 133: 1, 76: 2, 46: 1, 33: 1, 84: 1, 144: 2, 68: 1, 112: 1, 108: 1, 24: 1}","[337, 2557, 7231, 5110, 4717, 5567, 4, 248, 3071, 6217, 1675, 6071, 1150, 4171, 877, 6086, 6782, 3460, 3475, 1051, 7309, 412, 7091, 2022, 2999]",46,25,6,False
287,change user name,change user,144,True,True,False,"{135: 1, 140: 1, 98: 2, 41: 2, 39: 1, 103: 1, 86: 1, 40: 1, 123: 3, 133: 1, 76: 2, 46: 1, 33: 1, 84: 1, 144: 2, 68: 1, 112: 1, 108: 1, 24: 1}","[337, 2557, 7231, 5110, 4717, 5567, 4, 248, 3071, 6217, 1675, 6071, 1150, 4171, 877, 6086, 6782, 3460, 3475, 1051, 7309, 412, 7091, 2022, 2999]",287,25,6,False
382,oil change how,oil change how,3,False,True,False,"{135: 1, 140: 1, 98: 2, 41: 2, 39: 1, 103: 1, 86: 1, 40: 1, 123: 3, 133: 1, 76: 2, 46: 1, 33: 1, 84: 1, 144: 2, 68: 1, 112: 1, 108: 1, 24: 1}","[337, 2557, 7231, 5110, 4717, 5567, 4, 248, 3071, 6217, 1675, 6071, 1150, 4171, 877, 6086, 6782, 3460, 3475, 1051, 7309, 412, 7091, 2022, 2999]",382,25,6,False
2036,tell joke,tell,36,False,True,False,"{135: 1, 140: 1, 98: 2, 41: 2, 39: 1, 103: 1, 86: 1, 40: 1, 123: 3, 133: 1, 76: 2, 46: 1, 33: 1, 84: 1, 144: 2, 68: 1, 112: 1, 108: 1, 24: 1}","[337, 2557, 7231, 5110, 4717, 5567, 4, 248, 3071, 6217, 1675, 6071, 1150, 4171, 877, 6086, 6782, 3460, 3475, 1051, 7309, 412, 7091, 2022, 2999]",2036,25,6,False
2050,car rental,car,40,True,True,False,"{135: 1, 140: 1, 98: 2, 41: 2, 39: 1, 103: 1, 86: 1, 40: 1, 123: 3, 133: 1, 76: 2, 46: 1, 33: 1, 84: 1, 144: 2, 68: 1, 112: 1, 108: 1, 24: 1}","[337, 2557, 7231, 5110, 4717, 5567, 4, 248, 3071, 6217, 1675, 6071, 1150, 4171, 877, 6086, 6782, 3460, 3475, 1051, 7309, 412, 7091, 2022, 2999]",2050,25,6,False
1703,taxes,taxes,94,False,True,False,"{135: 1, 140: 1, 98: 2, 41: 2, 39: 1, 103: 1, 86: 1, 40: 1, 123: 3, 133: 1, 76: 2, 46: 1, 33: 1, 84: 1, 144: 2, 68: 1, 112: 1, 108: 1, 24: 1}","[337, 2557, 7231, 5110, 4717, 5567, 4, 248, 3071, 6217, 1675, 6071, 1150, 4171, 877, 6086, 6782, 3460, 3475, 1051, 7309, 412, 7091, 2022, 2999]",1703,25,6,False
